Encounter,Supplied,Kept,Selected files,Culled files
2-aragog,2,1,2-aragog-1.jpg,2-aragog-2.jpg
7-battle-hogwarts,2,1,7-battle-hogwarts-2.jpg,7-battle-hogwarts-1.jpg
4-black-lake,3,2,"4-black-lake-1.jpg, 4-black-lake-3.jpg",4-black-lake-2.jpg
5-centaurs,2,1,5-centaurs-2.jpg,5-centaurs-1.jpg
2-chamber,2,1,2-chamber-1.jpg,2-chamber-2.jpg
1-chess,2,1,1-chess-1.jpg,1-chess-2.jpg
5-death-chamber,4,2,"5-death-chamber-1.jpg, 5-death-chamber-3.jpg","5-death-chamber-2.jpg, 5-death-chamber-4.jpg"
4-dragon,3,1,4-dragon-2.jpg,"4-dragon-1.jpg, 4-dragon-3.jpg"
2-dueling-club,2,1,2-dueling-club-2.jpg,2-dueling-club-1.jpg
7-fiendfyre,3,2,"7-fiendfyre-1.jpg, 7-fiendfyre-2.jpg",7-fiendfyre-3.jpg
6-flight-prince,2,1,6-flight-prince-2.jpg,6-flight-prince-1.jpg
2-flying-car,2,1,2-flying-car-2.jpg,2-flying-car-1.jpg
1-forest,2,2,"1-forest-1.jpg, 1-forest-2.jpg",
7-forest,4,3,"7-forest-1.jpg, 7-forest-2.jpg, 7-forest-4.jpg",7-forest-3.jpg
7-godrics-hollow,4,2,"7-godrics-hollow-1.jpg, 7-godrics-hollow-3.jpg","7-godrics-hollow-2.jpg, 7-godrics-hollow-4.jpg"
4-graveyard,4,2,"4-graveyard-2.jpg, 4-graveyard-3.jpg","4-graveyard-1.jpg, 4-graveyard-4.jpg"
7-gringotts,4,2,"7-gringotts-2.jpg, 7-gringotts-3.jpg","7-gringotts-1.jpg, 7-gringotts-4.jpg"
6-hogwarts-invasion,3,2,"6-hogwarts-invasion-1.jpg, 6-hogwarts-invasion-3.jpg",6-hogwarts-invasion-2.jpg
6-horcrux-cave,2,1,6-horcrux-cave-1.jpg,6-horcrux-cave-2.jpg
6-inferi,2,1,6-inferi-2.jpg,6-inferi-1.jpg
1-jinxed-broom,2,1,1-jinxed-broom-1.jpg,1-jinxed-broom-2.jpg
1-keys,2,1,1-keys-2.jpg,1-keys-1.jpg
3-lake-dementors,4,2,"3-lake-dementors-2.jpg, 3-lake-dementors-4.jpg","3-lake-dementors-1.jpg, 3-lake-dementors-3.jpg"
2-lockhart,2,1,2-lockhart-2.jpg,2-lockhart-1.jpg
7-malfoy-manor,5,2,"7-malfoy-manor-2.jpg, 7-malfoy-manor-4.jpg","7-malfoy-manor-1.jpg, 7-malfoy-manor-3.jpg, 7-malfoy-manor-5.jpg"
4-maze,5,2,"4-maze-1.jpg, 4-maze-5.jpg","4-maze-2.jpg, 4-maze-3.jpg, 4-maze-4.jpg"
7-ministry,3,2,"7-ministry-1.jpg, 7-ministry-3.jpg",7-ministry-2.jpg
5-mysteries,3,2,"5-mysteries-1.jpg, 5-mysteries-2.jpg",5-mysteries-3.jpg
7-nagini,3,2,"7-nagini-1.jpg, 7-nagini-2.jpg",7-nagini-3.jpg
5-possession,4,2,"5-possession-2.jpg, 5-possession-4.jpg","5-possession-1.jpg, 5-possession-3.jpg"
1-potions,2,1,1-potions-2.jpg,1-potions-1.jpg
5-privet-dementors,3,1,5-privet-dementors-1.jpg,"5-privet-dementors-2.jpg, 5-privet-dementors-3.jpg"
3-quidditch-dementors,2,1,3-quidditch-dementors-2.jpg,3-quidditch-dementors-1.jpg
1-quirrell,2,1,1-quirrell-2.jpg,1-quirrell-1.jpg
1-remembrall,2,1,1-remembrall-2.jpg,1-remembrall-1.jpg
3-rescue,3,2,"3-rescue-1.jpg, 3-rescue-3.jpg",3-rescue-2.jpg
7-return-hogwarts,2,1,7-return-hogwarts-2.jpg,7-return-hogwarts-1.jpg
6-sectumsempra,3,1,6-sectumsempra-2.jpg,"6-sectumsempra-1.jpg, 6-sectumsempra-3.jpg"
7-seven-potters,2,1,7-seven-potters-2.jpg,7-seven-potters-1.jpg
3-shrieking-shack,3,1,3-shrieking-shack-2.jpg,"3-shrieking-shack-1.jpg, 3-shrieking-shack-3.jpg"
1-snare,2,1,1-snare-1.jpg,1-snare-2.jpg
7-snatchers,5,2,"7-snatchers-3.jpg, 7-snatchers-5.jpg","7-snatchers-1.jpg, 7-snatchers-2.jpg, 7-snatchers-4.jpg"
7-tottenham,2,2,"7-tottenham-1.jpg, 7-tottenham-2.jpg",
3-train-dementor,2,1,3-train-dementor-1.jpg,3-train-dementor-2.jpg
1-troll,2,1,1-troll-1.jpg,1-troll-2.jpg
5-umbridge-office,3,1,5-umbridge-office-1.jpg,"5-umbridge-office-2.jpg, 5-umbridge-office-3.jpg"
7-voldemort,5,3,"7-voldemort-1.jpg, 7-voldemort-2.jpg, 7-voldemort-4.jpg","7-voldemort-3.jpg, 7-voldemort-5.jpg"
7-wedding,3,2,"7-wedding-2.jpg, 7-wedding-3.jpg",7-wedding-1.jpg
3-werewolf,2,1,3-werewolf-2.jpg,3-werewolf-1.jpg
3-willow-pursuit,2,1,3-willow-pursuit-2.jpg,3-willow-pursuit-1.jpg
7-xenophilius,4,2,"7-xenophilius-1.jpg, 7-xenophilius-4.jpg","7-xenophilius-2.jpg, 7-xenophilius-3.jpg"
